,Agriculture,Astronomy,Biology,Chemistry,Computer S.,Earth S.,Engineering,Material S.,Mathematics,Medicine
Annotated,6.696,9.495,8.974,6.31,8.385,9.189,8.363,6.657,3.899,10.575
Not Annotated,93.304,90.505,91.026,93.69,91.615,90.811,91.637,93.343,96.101,89.425
